本日,本日,收盘价,成交量,流通市值,收盘价,成交金额
2241.4,516.2,5.75,31130353,16024653219,3213.8404,202663464515
2251.8,517.8,5.73,23793570,15968915295,3193.3034,168038057477
2252.7,518.9,5.72,26346349,15941046333,3154.2825,150598842185
2252.7,516.8,5.7,33666511,15885308408,3169.5652,174590979834
2253.5,517.3,5.81,40907454,16191866992,3192.1183,162990790010
2256.6,514.3,5.87,31268735,16359080764,3174.032,172410691054
2256.6,512.5,5.94,48367881,16554163499,3163.2632,167364290366
2260.8,514.2,5.81,34470106,16191866992,3174.4127,165440363878
2260.8,514.1,5.8,52773499,16163998030,3159.1502,153456426216
2258.9,512.6,6,35644829,16721377272,3161.4976,189011647380
2255.1,512.1,6.03,39765922,16804984158,3136.6448,178243870003
2257,514.2,5.96,36798473,16609901424,3091.0334,148436363354
2244.7,513.6,6,66703611,16721377272,3100.8586,173444959149
2204.9,507.1,5.97,52322953,16637770386,3081.1773,168246153004
2200.1,508.8,5.72,62887868,15941046333,3082.2316,179520260002
2200.1,510.6,5.92,42700907,16498425575,3075.0301,163783774602
2198.2,510.6,6.12,37955536,17055804817,3117.9739,161298141662
2193.7,512.4,6.17,75547863,17195149628,3128.9271,195545006122
2187.6,503.2,5.91,35359771,16470556613,3068.012,157854795102
2143.2,505.6,5.92,43044227,16498425575,3071.5425,185139069148
2143.2,497.6,6.14,65761652,17111542742,3117.376,196198984683
2143.2,493.6,5.91,59310742,16470556613,3091.3987,202238969970
2140.4,492.5,5.75,32753449,16024653219,3066.7967,185428029255
2140.4,492.2,5.81,51526075,16191866992,3110.6489,192233349250
